vector_size,window,min_count,sg,moor_variance_mean_sim,moor_mean_std,moor_sim_range,moor_trend_strength,moor_n_decades,moor_coverage,inboorling_variance_mean_sim,inboorling_mean_std,inboorling_sim_range,inboorling_trend_strength,inboorling_n_decades,inboorling_coverage,total_records,avg_coverage
50,3,1,0,0.0003413800298226885,0.035743295649844166,0.05503019258679398,0.09947369784409775,10,1.0,0.03167731720219219,0.30499649982993327,0.5193214130668715,0.23025153777770815,10,1.0,20,1.0
50,3,1,1,0.00013292582804902046,0.027266083683456788,0.03897211346707785,0.13044887316797243,10,1.0,0.02165489786046514,0.18093289133533833,0.40852301663125135,0.14374500852030472,10,1.0,20,1.0
50,3,2,0,0.00020423069988804616,0.03442068500036751,0.04427005753373603,0.04809276137901837,10,1.0,0.023102596651092756,0.18838022264014098,0.5095828102803412,0.512924388697049,10,1.0,20,1.0
50,3,2,1,0.0002689518067943887,0.02742100197271522,0.04792796001785471,0.11855785292941161,10,1.0,0.001069974153634066,0.04637794900021244,0.10675958851359679,0.4842230885787609,10,1.0,20,1.0
50,3,3,0,0.0015360856835425064,0.082919023796066,0.13249084249604126,0.39837399382972205,10,1.0,0.02568644869735992,0.21526276879586037,0.5367352418298641,0.4342176968708642,10,1.0,20,1.0
50,3,3,1,0.0011251499609910964,0.06624765713177556,0.11242530949576357,0.324116747008734,10,1.0,0.008264172354564779,0.12366532546835578,0.3276768760192642,0.4906092728478582,10,1.0,20,1.0
50,3,4,0,0.004018358502226663,0.13426238844471894,0.1930331026957005,0.5258563401379656,10,1.0,0.03918531232355464,0.22591402486772,0.6084318378943103,0.3885102280074812,10,1.0,20,1.0
50,3,4,1,0.0027314281136950843,0.10034011881511855,0.15085735582760695,0.4640192650330932,10,1.0,0.02934711854275599,0.20203474527893633,0.5683918669274487,0.5247262701371858,10,1.0,20,1.0
50,3,5,0,0.0033125910659560893,0.16050201909700254,0.16228162080908837,0.3188274836253698,10,1.0,0.04178188774284995,0.2338089111482216,0.6045507278081087,0.2992676008769427,10,1.0,20,1.0
50,3,5,1,0.003028399775820156,0.1230390282647428,0.16679492583965372,0.3529905491693467,10,1.0,0.031146462782664013,0.20532574826348596,0.5702831131210013,0.3865897662713565,10,1.0,20,1.0
50,5,1,0,0.0004316846991632756,0.04141786683480698,0.0722282981254716,0.12765789686170104,10,1.0,0.03137958700276336,0.25906005474234295,0.5228001350780265,0.17802917898541173,10,1.0,20,1.0
50,5,1,1,0.00023716494577270494,0.029201809229053903,0.057253142932710444,0.00971974140285357,10,1.0,0.0015903959646197427,0.061414316448504445,0.14911407569916812,0.39673821220100297,10,1.0,20,1.0
50,5,2,0,0.00016508867979461993,0.028993320592430167,0.041197390609410744,0.18046989169199742,10,1.0,0.013989880123233957,0.1436199966323753,0.4054675675857995,0.5001085053711116,10,1.0,20,1.0
50,5,2,1,0.0005352441937857908,0.04061128819379876,0.08345816222488911,0.1493503908220603,10,1.0,0.002388372622573995,0.06741487571509562,0.13925532190813006,0.4088203584082717,10,1.0,20,1.0
