word,year,count
inboorling,1674,2
inboorling,1683,1
inboorling,1685,2
inboorling,1689,2
inboorling,1696,1
inboorling,1697,1
inboorling,1698,1
inboorling,1699,1
inboorlingen,1674,2
inboorlingen,1676,1
inboorlingen,1683,1
inboorlingen,1685,3
inboorlingen,1686,1
inboorlingen,1687,3
inboorlingen,1688,3
inboorlingen,1690,4
inboorlingen,1691,2
inboorlingen,1692,1
inboorlingen,1696,2
inboorlingen,1697,1
inboorlingen,1698,2
inboorlingen,1699,3
moor,1623,1
moor,1624,1
moor,1645,1
moor,1660,2
moor,1661,1
moor,1666,3
moor,1669,2
moor,1670,6
moor,1671,3
moor,1672,1
moor,1673,5
moor,1674,11
moor,1675,10
moor,1676,1
moor,1677,12
moor,1678,2
moor,1679,1
moor,1681,4
moor,1682,1
moor,1683,8
moor,1684,9
moor,1685,6
moor,1686,10
moor,1687,20
moor,1688,17
moor,1689,6
moor,1690,8
moor,1691,18
moor,1692,12
moor,1693,6
moor,1695,4
moor,1696,2
moor,1697,23
moor,1698,26
moor,1699,13
moren,1643,1
moren,1645,1
moren,1662,1
moren,1667,1
moren,1669,2
moren,1670,1
moren,1672,1
moren,1673,3
moren,1674,2
moren,1675,1
moren,1676,3
moren,1677,3
moren,1683,1
moren,1684,6
moren,1685,5
moren,1686,3
moren,1687,10
moren,1688,3
moren,1689,7
moren,1690,7
moren,1691,3
moren,1693,1
moren,1694,1
moren,1696,1
moren,1697,1
moren,1698,7
moren,1699,6
