word,year,count
inboorling,1701,3
inboorling,1703,1
inboorling,1704,1
inboorling,1705,1
inboorling,1712,1
inboorling,1713,1
inboorling,1715,3
inboorling,1717,1
inboorling,1723,2
inboorling,1724,1
inboorling,1725,1
inboorling,1726,3
inboorling,1727,3
inboorling,1728,1
inboorling,1729,3
inboorling,1731,2
inboorling,1732,2
inboorling,1733,2
inboorling,1734,3
inboorling,1735,3
inboorling,1736,1
inboorling,1740,1
inboorling,1741,1
inboorling,1743,1
inboorling,1744,1
inboorling,1746,3
inboorling,1747,1
inboorling,1748,1
inboorling,1751,4
inboorling,1753,3
inboorling,1757,1
inboorling,1758,5
inboorling,1759,4
inboorling,1760,3
inboorling,1762,1
inboorling,1763,5
inboorling,1764,14
inboorling,1765,3
inboorling,1766,2
inboorling,1767,6
inboorling,1768,10
inboorling,1769,1
inboorling,1770,3
inboorling,1771,4
inboorling,1772,5
inboorling,1773,3
inboorling,1774,12
inboorling,1775,8
inboorling,1776,3
inboorling,1777,2
inboorling,1778,1
inboorling,1779,6
inboorling,1780,1
inboorling,1781,3
inboorling,1782,20
inboorling,1783,3
inboorling,1784,9
inboorling,1785,7
inboorling,1786,10
inboorling,1787,5
inboorling,1788,3
inboorling,1789,4
inboorling,1792,5
inboorling,1793,1
inboorlingen,1700,2
inboorlingen,1701,1
inboorlingen,1702,2
inboorlingen,1703,3
inboorlingen,1704,1
inboorlingen,1705,2
inboorlingen,1706,2
inboorlingen,1707,2
inboorlingen,1709,3
inboorlingen,1711,3
inboorlingen,1712,1
inboorlingen,1713,1
inboorlingen,1715,1
inboorlingen,1717,1
inboorlingen,1718,1
inboorlingen,1721,2
inboorlingen,1722,3
inboorlingen,1723,3
inboorlingen,1724,2
inboorlingen,1725,2
inboorlingen,1726,8
inboorlingen,1727,1
inboorlingen,1728,7
inboorlingen,1729,5
inboorlingen,1730,2
inboorlingen,1731,1
inboorlingen,1732,2
inboorlingen,1733,5
inboorlingen,1734,2
inboorlingen,1735,4
inboorlingen,1736,6
inboorlingen,1737,6
inboorlingen,1738,5
inboorlingen,1739,3
inboorlingen,1740,6
inboorlingen,1741,5
inboorlingen,1742,4
inboorlingen,1743,8
inboorlingen,1744,5
inboorlingen,1745,5
inboorlingen,1746,11
inboorlingen,1747,3
inboorlingen,1748,12
inboorlingen,1749,31
inboorlingen,1750,14
inboorlingen,1751,9
inboorlingen,1752,7
inboorlingen,1753,13
inboorlingen,1754,9
inboorlingen,1755,12
inboorlingen,1756,5
inboorlingen,1757,4
inboorlingen,1758,6
inboorlingen,1759,12
inboorlingen,1760,12
inboorlingen,1761,17
inboorlingen,1762,9
inboorlingen,1763,5
inboorlingen,1764,10
inboorlingen,1765,14
inboorlingen,1766,8
inboorlingen,1767,23
inboorlingen,1768,13
inboorlingen,1769,8
inboorlingen,1770,50
inboorlingen,1771,9
inboorlingen,1772,23
inboorlingen,1773,17
inboorlingen,1774,7
inboorlingen,1775,9
inboorlingen,1776,16
inboorlingen,1777,12
inboorlingen,1778,20
inboorlingen,1779,22
inboorlingen,1780,25
inboorlingen,1781,16
inboorlingen,1782,29
inboorlingen,1783,35
inboorlingen,1784,29
inboorlingen,1785,29
inboorlingen,1786,6
inboorlingen,1787,12
inboorlingen,1788,11
inboorlingen,1789,12
inboorlingen,1792,6
inboorlingen,1793,3
inboorlingen,1795,8
moor,1700,14
moor,1701,4
moor,1702,10
moor,1703,9
moor,1704,10
moor,1705,17
moor,1706,10
moor,1707,21
moor,1708,21
moor,1709,14
moor,1710,10
moor,1711,13
moor,1712,14
moor,1713,15
moor,1714,32
moor,1715,19
moor,1716,3
moor,1717,9
moor,1718,12
moor,1719,10
moor,1720,33
moor,1721,47
moor,1722,12
moor,1723,29
moor,1724,42
moor,1725,58
moor,1726,34
moor,1727,32
moor,1728,30
moor,1729,47
moor,1730,11
moor,1731,53
moor,1732,184
moor,1733,75
moor,1734,26
moor,1735,35
moor,1736,49
moor,1737,46
moor,1738,31
moor,1739,13
moor,1740,20
moor,1741,15
moor,1742,53
moor,1743,34
moor,1744,31
moor,1745,37
moor,1746,25
moor,1747,18
moor,1748,37
moor,1749,48
moor,1750,30
moor,1751,37
moor,1752,44
moor,1753,37
moor,1754,28
moor,1755,35
moor,1756,36
moor,1757,49
moor,1758,40
moor,1759,90
moor,1760,49
moor,1761,21
moor,1762,28
moor,1763,35
moor,1764,42
moor,1765,56
moor,1766,71
moor,1767,56
moor,1768,55
moor,1769,70
moor,1770,60
moor,1771,54
moor,1772,88
moor,1773,36
moor,1774,50
moor,1775,126
moor,1776,70
moor,1777,70
moor,1778,48
moor,1779,79
moor,1780,82
moor,1781,72
moor,1782,65
moor,1783,67
moor,1784,47
moor,1785,60
moor,1786,64
moor,1787,41
moor,1788,59
moor,1789,34
moor,1792,47
moor,1793,74
moor,1795,47
moorin,1706,2
moorin,1707,1
moorin,1726,1
moorin,1748,1
moorin,1772,1
moorin,1775,1
moorin,1776,1
moren,1700,3
moren,1701,3
moren,1702,14
moren,1703,2
moren,1704,8
moren,1705,4
moren,1706,1
moren,1707,3
moren,1708,5
moren,1709,1
moren,1710,2
moren,1711,3
moren,1712,3
moren,1713,4
moren,1714,4
moren,1715,1
moren,1716,3
moren,1717,1
moren,1718,1
moren,1719,1
moren,1720,10
moren,1721,19
moren,1722,11
moren,1723,9
moren,1724,4
moren,1725,10
moren,1726,18
moren,1727,15
moren,1728,6
moren,1729,6
moren,1730,4
moren,1731,11
moren,1732,38
moren,1733,5
moren,1734,8
moren,1735,6
moren,1736,15
moren,1737,4
moren,1738,1
moren,1739,5
moren,1740,5
moren,1741,3
moren,1742,7
moren,1743,4
moren,1744,7
moren,1745,9
moren,1746,14
moren,1747,5
moren,1748,6
moren,1749,12
moren,1750,1
moren,1751,2
moren,1752,7
moren,1753,3
moren,1754,7
moren,1755,8
moren,1756,8
moren,1757,8
moren,1758,1
moren,1759,3
moren,1760,17
moren,1761,6
moren,1762,7
moren,1763,10
moren,1764,3
moren,1765,15
moren,1766,10
moren,1767,12
moren,1768,7
moren,1769,25
moren,1770,18
moren,1771,4
moren,1772,23
moren,1773,12
moren,1774,13
moren,1775,43
moren,1776,11
moren,1777,14
moren,1778,12
moren,1779,10
moren,1780,14
moren,1781,10
moren,1782,4
moren,1783,16
moren,1784,14
moren,1785,23
moren,1786,22
moren,1787,14
moren,1788,24
moren,1789,9
moren,1792,13
moren,1793,10
moren,1795,11
