word,year,count
moor,1802,113
moor,1803,79
moor,1804,76
moor,1805,59
moor,1806,66
moor,1807,56
moor,1808,165
moor,1809,99
moor,1810,139
moor,1811,73
moor,1812,57
moor,1813,52
moor,1814,108
moor,1815,101
moor,1816,107
moor,1817,163
moor,1818,170
moor,1819,150
moor,1820,203
moor,1821,143
moor,1822,240
moor,1823,137
moor,1824,195
moor,1825,115
moor,1826,139
moor,1827,200
moor,1828,188
moor,1829,305
moor,1830,392
moor,1831,191
moor,1832,124
moor,1833,133
moor,1834,202
moor,1835,183
moor,1836,109
moor,1837,54
moor,1840,242
moor,1841,232
moor,1842,215
moor,1843,254
moor,1844,474
moor,1845,205
moor,1846,134
moor,1852,329
moor,1853,379
moor,1854,291
moor,1855,237
moor,1856,432
moor,1857,130
moor,1858,192
moor,1859,42
moor,1860,515
moor,1861,27
moor,1862,546
moor,1863,64
moor,1865,429
moor,1866,368
moor,1867,369
moor,1868,328
moor,1869,546
moor,1870,319
moor,1871,365
moor,1872,311
moor,1873,404
moor,1874,408
moor,1875,427
moor,1876,429
moor,1877,625
moor,1878,880
moor,1879,1016
moorin,1802,1
moorin,1824,1
moorin,1833,6
moorin,1836,2
moorin,1837,1
moorin,1844,1
moorin,1845,2
moorin,1861,1
moorin,1862,2
moorin,1865,8
moorin,1869,4
moorin,1871,2
moorin,1879,2
moren,1800,38
moren,1801,17
moren,1802,28
moren,1803,31
moren,1804,31
moren,1805,42
moren,1806,24
moren,1807,24
moren,1808,24
moren,1809,20
moren,1810,47
moren,1811,21
moren,1812,6
moren,1813,7
moren,1814,30
moren,1815,20
moren,1816,37
moren,1817,36
moren,1818,36
moren,1819,31
moren,1820,33
moren,1821,47
moren,1822,38
moren,1823,31
moren,1824,28
moren,1825,33
moren,1826,24
moren,1827,26
moren,1828,36
moren,1829,21
moren,1830,32
moren,1831,15
moren,1832,16
moren,1833,33
moren,1834,26
moren,1835,21
moren,1836,24
moren,1837,5
moren,1840,23
moren,1841,28
moren,1842,17
moren,1843,28
moren,1844,28
moren,1845,14
moren,1846,8
moren,1852,15
moren,1853,28
moren,1854,17
moren,1855,5
moren,1856,3
moren,1857,2
moren,1858,6
moren,1859,2
moren,1860,14
moren,1861,3
moren,1862,21
moren,1863,3
moren,1865,21
moren,1866,20
moren,1867,18
moren,1868,15
moren,1869,24
moren,1870,21
moren,1871,26
moren,1872,20
moren,1873,24
moren,1874,31
moren,1875,23
moren,1876,32
moren,1877,55
moren,1878,43
moren,1879,36
